l,,,,,,Favourite Pokemon 2025 (From Sparklez Squad Survey) ,,,,,,,,
,,,,,," (Curent total of 26,407 votes)",,,,,Notes/Patch:,REMOVED PARTNER PIKACHU/PARTNER EEVEE,,
,,,,,,Tip: Use Ctrl/cmd + F to search your pokemon,,,,,,ADDED EAST/WEST SHELLOS/GASTRODON,,
,,,,,,Additional Info also seperated by sheets at the bottom,,,,,,ADDED MISSING (AMPED/LOW KEY) on TOXTRICITY,,
,,,,,,Please feel free contact or comment on any of my socials if you want any specific info not shown here :) ,,,,,,ADDED SHADOW LUGIA,,
,,,,,-------------------->,Youtube Video about it all,,,,,,ADDED POKEMON ZA MEGAS,,
,,,,,,,,,,,,,,
Generation,TYPE,STARTER POKEMON,Dex #,Votes,,,,,,,,,,
Gen I (Kanto),Grass,Bulbasaur,1,207,,,Generation,VOTES,Percentage,,,Top pokemon Per Gen,,
Gen I (Kanto),Fire,Charmander,4,54,,,Generation,Votes,Share %,,Gen,Dex #,Pokémon,Votes
Gen I (Kanto),Water,Squirtle,7,115,,,Gen 1 (Kanto),5505,20.85,,Gen 1,#094,Gengar,270
Gen II (Johto),Grass,Chikorita,152,60,,,Gen 3 (Hoenn),3713,14.06,,Gen 2,#197,Umbreon,190
Gen II (Johto),Fire,Cyndaquil,155,105,,,Gen 5 (Unova),3543,13.42,,Gen 3,#258,Mudkip,236
Gen II (Johto),Water,Totodile,158,96,,,Gen 4 (Sinnoh),3394,12.85,,Gen 4,#448,Lucario,202
Gen III (Hoenn),Grass,Treecko,252,35,,,Gen 2 (Johto),3159,11.96,,Gen 5,#501,Oshawott,181
Gen III (Hoenn),Fire,Torchic,255,52,,,Gen 7 (Alola),2275,8.62,,Gen 6,#700,Sylveon,296
Gen III (Hoenn),Water,Mudkip,258,236,,,Gen 6 (Kalos),2147,8.13,,Gen 7,#778,Mimikyu,434
Gen IV (Sinnoh),Grass,Turtwig,387,57,,,Gen 9 (Paldea),1344,5.09,,Gen 8,#887,Dragapult,110
Gen IV (Sinnoh),Fire,Chimchar,390,27,,,Gen 8 (Galar/Hisui),1327,5.03,,Gen 9,#959,Tinkaton,120
Gen IV (Sinnoh),Water,Piplup,393,199,,,,,,,,,,
Gen V (Unova),Grass,Snivy,495,50,,,,,"Note:If Ash's Greninja counted as Greninja votes, it would be in 3rd Place with 272 Votes. Charizard with Megas would be 230  votes under Mudkip :)",,,,,
Gen V (Unova),Fire,Tepig,498,42,,,Ranking,Pokedex #,Top 10 Pokemon Overall,Generation,Votes,Percentage,,
Gen V (Unova),Water,Oshawott,501,181,,,Rank,Dex #,Pokémon Name,Generation,Votes,% of Total Votes,,
Gen VI (Kalos),Grass,Chespin,650,23,,,1st,778,Mimikyu,Gen VII (Alola),434,1.64 %,,
Gen VI (Kalos),Fire,Fennekin,653,36,,,2nd,700,Sylveon,Gen VI (Kalos),296,1.12 %,,
Gen VI (Kalos),Water,Froakie,656,15,,,3rd,94,Gengar,Gen I (Kanto),270,1.02 %,,
Gen VII (Alola),Grass,Rowlet,722,149,,,4th,258,Mudkip,Gen III (Hoenn),236,0.89 %,,
Gen VII (Alola),Fire,Litten,725,51,,,5th,1,Bulbasaur,Gen I (Kanto),207,0.78 %,,
Gen VII (Alola),Water,Popplio,728,44,,,6th,448,Lucario,Gen IV (Sinnoh),202,0.76 %,,
Gen VIII (Galar/Hisui),Grass,Grookey,810,15,,,7th,133,Eevee,Gen I (Kanto),199,0.75 %,,
Gen VIII (Galar/Hisui),Fire,Scorbunny,813,46,,,8th,393,Piplup,Gen IV (Sinnoh),199,0.75 %,,
Gen VIII (Galar/Hisui),Water,Sobble,816,25,,,9th,197,Umbreon,Gen II (Johto),190,0.72 %,,
Gen IX (Paldea),Grass,Sprigatito,906,52,,,10th,658,Greninja,Gen VI (Kalos),188,0.71 %,,
,,,,,,,,,,,,,,
Gen IX (Paldea),Fire,Fuecoco,909,58,,,,,,,,,,
Gen IX (Paldea),Water,Quaxly,912,18,,,Rank,Pokedex #,Pokemon Name,Generation,Votes,,,
,,,,,,,11th,445,Garchomp,Gen IV (Sinnoh),186,,,
,,,,,,,12th,501,Oshawott,Gen V (Unova),181,,,
,,,,,,,13th,405,Luxray,Gen IV (Sinnoh),179,,,
Top Rank,Dex #,Pokémon Name,Starter Type,Generation,Votes,,14th,54,Psyduck,Gen I (Kanto),176,,,
1st,258,Mudkip,Water,Gen III (Hoenn),236,,15th,59,Arcanine,Gen I (Kanto),172,,,
2nd,1,Bulbasaur,Grass,Gen I (Kanto),207,,16th,143,Snorlax,Gen I (Kanto),164,,,
3rd,393,Piplup,Water,Gen IV (Sinnoh),199,,17th,609,Chandelure,Gen V (Unova),163,,,
4th,501,Oshawott,Water,Gen V (Unova),181,,18th,6,Charizard,Gen I (Kanto),163,,,
5th,722,Rowlet,Grass,Gen VII (Alola),149,,19th,470,Leafeon,Gen IV (Sinnoh),158,,,
6th,7,Squirtle,Water,Gen I (Kanto),115,,20th,196,Espeon,Gen II (Johto),157,,,
7th,155,Cyndaquil,Fire,Gen II (Johto),105,,,,,,,,,
8th,158,Totodile,Water,Gen II (Johto),96,,,,,,,,,
9th,152,Chikorita,Grass,Gen II (Johto),60,,,Pokedex #,Pokemon Name,Generation,Votes,,,
10th,909,Fuecoco,Fire,Gen IX (Paldea),58,,,617,Accelgor,Gen V (Unova),1,,,
,,,,,,,,76,Alolan Golem,Gen I (Kanto),1,,,
,,,,,,,,88,Alolan Grimer,Gen I (Kanto),1,,,
Least Voted,Dex #,Pokémon Name,Starter Type,Generation,Votes,,,20,Alolan Raticate,Gen I (Kanto),1,,,
1st,656,Froakie,Water,Gen VI (Kalos),15,,,594,Alomomola,Gen V (Unova),1,,,
2nd,810,Grookey,Grass,Gen VIII (Galar/Hisui),15,,,997,Arctibax,Gen IX (Paldea),1,,,
3rd,912,Quaxly,Water,Gen IX (Paldea),18,,,550,Basculin (Red-Striped Form),Gen V (Unova),1,,,
4th,650,Chespin,Grass,Gen VI (Kalos),23,,,550,Basculin (White-Striped Form),Gen V (Unova),1,,,
5th,816,Sobble,Water,Gen VIII (Galar/Hisui),25,,,400,Bibarel,Gen IV (Sinnoh),1,,,
6th,390,Chimchar,Fire,Gen IV (Sinnoh),27,,,688,Binacle,Gen VI (Kalos),1,,,
7th,252,Treecko,Grass,Gen III (Hoenn),35,,,824,Blipbug,Gen VIII (Galar/Hisui),1,,,
8th,653,Fennekin,Fire,Gen VI (Kalos),36,,,626,Bouffalant,Gen V (Unova),1,,,
9th,498,Tepig,Fire,Gen V (Unova),42,,,,,,,,,
10th,728,Popplio,Water,Gen VII (Alola),44,,,986,Brute Bonnet,Gen IX (Paldea),1,,,
,,,,,,,,412,Burmy (Trash Cloak),Gen IV (Sinnoh),1,,,
,,,,,,,,898,Calyrex (Ice Rider),Gen VIII (Galar/Hisui),1,,,
Rank,Type,Votes,Percentage,,,,,951,Capsakid,Gen IX (Paldea),1,,,
1,Water,4268,10.55364605,,,,,838,Carkol,Gen VIII (Galar/Hisui),1,,,
2,Fire,2955,7.306940976,,,,,268,Cascoon,Gen III (Hoenn),1,,,
3,Grass,2913,7.203085977,,,,,555,Darmanitan (Galarian Zen Mode),Gen V (Unova),1,,,
4,Ghost,2773,6.856902648,,,,,386,Deoxys (Speed Forme),Gen III (Hoenn),1,,,
5,Flying,2560,6.330209441,,,,,929,Dolliv,Gen IX (Paldea),1,,,
6,Psychic,2494,6.167008729,,,,,905,Enamorus (Incarnate Forme),Gen VIII (Galar/Hisui),1,,,
7,Normal,2480,6.132390396,,,,,456,Finneon,Gen IV (Sinnoh),1,,,
8,Dragon,2388,5.904898494,,,,,955,Flittle,Gen IX (Paldea),1,,,
9,Fairy,2218,5.484533023,,,,,657,Frogadier,Gen VI (Kalos),1,,,
10,Dark,2196,5.430132786,,,,,52,Galarian Meowth,Gen I (Kanto),1,,,
11,Ground,2151,5.318859573,,,,,896,Glastrier,Gen VIII (Galar/Hisui),1,,,
12,Electric,1933,4.779802676,,,,,969,Glimmet,Gen IX (Paldea),1,,,
13,Steel,1815,4.488019584,,,,,118,Goldeen,Gen I (Kanto),1,,,
14,Poison,1756,4.342128038,,,,,368,Gorebyss,Gen III (Hoenn),1,,,
15,Fighting,1736,4.292673277,,,,,1020,Gouging Fire,Gen IX (Paldea),1,,,
16,Bug,1664,4.114636137,,,,,711,Gourgeist (Large Size),Gen VI (Kalos),1,,,
17,Ice,1125,2.781830321,,,,,711,Gourgeist (Small Size),Gen VI (Kalos),1,,,
18,Rock,1016,2.512301872,,,,,210,Granbull,Gen II (Johto),1,,,
,,,,,,,,450,Hippowdon,Gen IV (Sinnoh),1,,,
,,               ISSUE: Variants are getting the added value of all votes from that Pokemon. Empty spots=I'm still fixing it.,,,,,,163,Hoothoot,Gen II (Johto),1,,,
Type,Rank,Pokemon Name,Votes,Percentage,,,,992,Iron Hands,Gen IX (Paldea),1,,,
Bug,1,Scizor,135,7.03,,,,995,Iron Thorns,Gen IX (Paldea),1,,,
